sisben_area,sisben_score,spadies_any,cutoff
Other urban area,-23.68,1,-56.32
Main metro area,-57.13999938964844,1,-57.21
Main metro area,-21.64999961853027,1,-57.21
Main metro area,-59.72000122070313,0,-57.21
Main metro area,-62.81999969482422,0,-57.21
Main metro area,-67.98999786376953,0,-57.21
Main metro area,-65.55999755859375,1,-57.21
Other urban area,-69.30999755859375,1,-56.32
Main metro area,-57.29999923706055,1,-57.21
Main metro area,-33.08000183105469,0,-57.21
Rural area,-26.20999908447266,1,-40.75
Other urban area,-78.16999816894531,0,-56.32
Other urban area,-74.05999755859375,0,-56.32
Main metro area,-68.73999786376953,0,-57.21
Main metro area,-48.47000122070313,0,-57.21
Other urban area,-78.51000213623047,1,-56.32
Main metro area,-65.84999847412109,0,-57.21
Other urban area,-49.22,1,-56.32
Main metro area,-51.18999862670898,1,-57.21
Other urban area,-27.5,0,-56.32
Main metro area,-67.11000061035156,1,-57.21
Main metro area,-68.01000213623047,0,-57.21
Main metro area,-53.47999954223633,1,-57.21
Main metro area,-66.40000152587891,0,-57.21
Other urban area,-64.73000335693359,0,-56.32
Other urban area,-39.66999816894531,1,-56.32
Main metro area,-61.54000091552734,0,-57.21
Main metro area,-59.27000045776367,1,-57.21
Main metro area,-68.04000091552734,1,-57.21
Main metro area,-73.55000305175781,1,-57.21
Main metro area,-62.75,0,-57.21
Main metro area,-24.7,1,-57.21
Other urban area,-56.68000030517578,0,-56.32
Main metro area,-60.97999954223633,0,-57.21
Other urban area,-24.53,0,-56.32
Main metro area,-46.97999954223633,0,-57.21
Other urban area,-35.97,1,-56.32
Main metro area,-41.77999877929688,1,-57.21
Rural area,-15.69,1,-40.75
Other urban area,-57.38999938964844,1,-56.32
Main metro area,-56.33000183105469,1,-57.21
Main metro area,-71.04000091552734,1,-57.21
Main metro area,-72.76000213623047,1,-57.21
Main metro area,-62.86000061035156,0,-57.21
Main metro area,-59.5099983215332,0,-57.21
Rural area,-44.59000015258789,0,-40.75
Main metro area,-63.54999923706055,0,-57.21
Other urban area,-56.52999877929688,0,-56.32
Main metro area,-72.73000335693359,0,-57.21
Main metro area,-59.27000045776367,1,-57.21
Rural area,-75.73000335693359,1,-40.75
Main metro area,-70.37999725341797,1,-57.21
Other urban area,-56.84999847412109,0,-56.32
Main metro area,-77.69000244140625,1,-57.21
Main metro area,-60.63000106811523,1,-57.21
Main metro area,-56.68999862670898,1,-57.21
Other urban area,-6.32,1,-56.32
Main metro area,-50.83,1,-57.21
Main metro area,-74.13999938964844,1,-57.21
Main metro area,-72.55000305175781,0,-57.21
Main metro area,-74.36000061035156,1,-57.21
Main metro area,-13.01000022888184,0,-57.21
Other urban area,-73.70999908447266,0,-56.32
Other urban area,-72.81999969482422,1,-56.32
Main metro area,-24.56999969482422,1,-57.21
Other urban area,-72.76999664306641,1,-56.32
Main metro area,-58.84999847412109,0,-57.21
Main metro area,-68.83999633789063,1,-57.21
Main metro area,-62.40999984741211,0,-57.21
Main metro area,-65.11000061035156,1,-57.21
Main metro area,-29.34000015258789,1,-57.21
Main metro area,-65.13999938964844,1,-57.21
Other urban area,-72.69999694824219,1,-56.32
Main metro area,-62.58000183105469,0,-57.21
Main metro area,-24.35000038146973,1,-57.21
Main metro area,-65.19999694824219,1,-57.21
Main metro area,-79.37000274658203,1,-57.21
Main metro area,-75.87000274658203,0,-57.21
Main metro area,-65.11000061035156,0,-57.21
Main metro area,-78.56999969482422,0,-57.21
Main metro area,-75.30000305175781,1,-57.21
Other urban area,-44.70999908447266,1,-56.32
Main metro area,-64.25,0,-57.21
Main metro area,-74.81999969482422,1,-57.21
Main metro area,-53.43000030517578,0,-57.21
Other urban area,-81.37999725341797,0,-56.32
Main metro area,-33.59999847412109,0,-57.21
Main metro area,-71.16999816894531,0,-57.21
Other urban area,-68.51000213623047,1,-56.32
Main metro area,-26.84,1,-57.21
Other urban area,-39.54999923706055,1,-56.32
Rural area,-62.36999893188477,0,-40.75
Other urban area,-48.97999954223633,1,-56.32
Other urban area,-75.58999633789063,0,-56.32
Main metro area,-67.36000061035156,1,-57.21
Rural area,-59.56000137329102,1,-40.75
Main metro area,-61.34999847412109,1,-57.21
Other urban area,-26.37,1,-56.32
Main metro area,-18.14999961853027,1,-57.21
Other urban area,-72.31999969482422,0,-56.32
Main metro area,-76.16000366210938,0,-57.21
Main metro area,-50.93999862670898,1,-57.21
Main metro area,-65.38999938964844,1,-57.21
Main metro area,-30.29000091552734,0,-57.21
Other urban area,-26.04000091552734,0,-56.32
Main metro area,-69.47000122070313,1,-57.21
Other urban area,-68.5,0,-56.32
Main metro area,-73.55000305175781,0,-57.21
Main metro area,-74.81999969482422,1,-57.21
Main metro area,-40.7400016784668,1,-57.21
Main metro area,-58.84999847412109,1,-57.21
Rural area,-20.12,1,-40.75
Main metro area,-60.40000152587891,1,-57.21
Main metro area,-57.04,1,-57.21
Main metro area,-58.34000015258789,1,-57.21
Main metro area,-52.18999862670898,1,-57.21
Main metro area,-72.83000183105469,1,-57.21
Main metro area,-62.06000137329102,0,-57.21
Rural area,-28.80999946594238,0,-40.75
Other urban area,-61.54999923706055,1,-56.32
Other urban area,-66.48000335693359,0,-56.32
Other urban area,-49.84999847412109,1,-56.32
Main metro area,-62.29999923706055,1,-57.21
Rural area,-17.3799991607666,1,-40.75
Main metro area,-51.02999877929688,1,-57.21
Main metro area,-60.45999908447266,1,-57.21
Main metro area,-31.32999992370605,1,-57.21
Other urban area,-69.12000274658203,1,-56.32
Main metro area,-73.69999694824219,1,-57.21
Other urban area,-73.55999755859375,0,-56.32
Other urban area,-44.02,1,-56.32
Main metro area,-65.11000061035156,1,-57.21
Main metro area,-75.87000274658203,0,-57.21
Main metro area,-60.09999847412109,1,-57.21
Main metro area,-60.88999938964844,1,-57.21
Main metro area,-68.94000244140625,0,-57.21
Main metro area,-59.27000045776367,0,-57.21
Other urban area,-70.79000091552734,0,-56.32
Other urban area,-78.69999694824219,1,-56.32
Other urban area,-70.33000183105469,0,-56.32
Other urban area,-67.12999725341797,1,-56.32
Main metro area,-64.48000335693359,1,-57.21
Main metro area,-53.61999893188477,1,-57.21
Other urban area,-64.25,1,-56.32
Other urban area,-59.86000061035156,0,-56.32
Main metro area,-73.55000305175781,1,-57.21
Main metro area,-61.63000106811523,0,-57.21
Other urban area,-55.86000061035156,0,-56.32
Main metro area,-38.06000137329102,1,-57.21
Rural area,-59.2599983215332,1,-40.75
Other urban area,-38.68,1,-56.32
Other urban area,-78.48999786376953,1,-56.32
Main metro area,-47.95999908447266,1,-57.21
Main metro area,-55.02999877929688,1,-57.21
Other urban area,-76.52999877929688,1,-56.32
Main metro area,-60.02999877929688,0,-57.21
Main metro area,-73.55000305175781,1,-57.21
Other urban area,-71.62000274658203,0,-56.32
Main metro area,-62.43000030517578,0,-57.21
Other urban area,-43.54999923706055,1,-56.32
Main metro area,-63.54999923706055,1,-57.21
Main metro area,-60.25,1,-57.21
Other urban area,-60.16999816894531,1,-56.32
Rural area,-22.72999954223633,1,-40.75
Rural area,-73.98000335693359,1,-40.75
Main metro area,-45.43,1,-57.21
Other urban area,-17.82999992370605,1,-56.32
Other urban area,-82.37999725341797,1,-56.32
Main metro area,-23.76000022888184,1,-57.21
Main metro area,-67.44999694824219,0,-57.21
Main metro area,-31.94000053405762,1,-57.21
Other urban area,-84.55000305175781,0,-56.32
Other urban area,-62.04000091552734,0,-56.32
Main metro area,-71.27999877929688,1,-57.21
Main metro area,-56.18999862670898,1,-57.21
Main metro area,-70.01999664306641,1,-57.21
Other urban area,-29.95999908447266,1,-56.32
Main metro area,-60.34000015258789,1,-57.21
Main metro area,-75.11000061035156,1,-57.21
Other urban area,-71.63999938964844,1,-56.32
Main metro area,-67.69000244140625,0,-57.21
Main metro area,-57.02000045776367,1,-57.21
Main metro area,-48.18999862670898,1,-57.21
Other urban area,-37.72999954223633,1,-56.32
Main metro area,-60.02999877929688,0,-57.21
Main metro area,-35.09000015258789,1,-57.21
Rural area,-45.02000045776367,1,-40.75
Main metro area,-77.80999755859375,0,-57.21
Other urban area,-67.11000061035156,1,-56.32
Other urban area,-59.59999847412109,0,-56.32
Rural area,-11.94999980926514,1,-40.75
Other urban area,-65.13999938964844,0,-56.32
Main metro area,-59.40999984741211,1,-57.21
Main metro area,-78.18000030517578,1,-57.21
Main metro area,-41.13999938964844,1,-57.21
Other urban area,-46.18999862670898,1,-56.32
Main metro area,-51.68999862670898,1,-57.21
Main metro area,-76.73000335693359,0,-57.21
Main metro area,-56.77000045776367,1,-57.21
Other urban area,-19.25,1,-56.32
