e2008g,latitude,longitude,treated,age,black,hisp,dem,female,lat_cutoff,long_cutoff,dist1,dist2,dist3,perp_dist,long_border,lat_border
1,40.2976,-74.574,1,59,0,0,1,1,40.32489013671875,-74.61788940429688,4.801798183879643,3.550077342992485,2.456936983354374,.39380350466353,-74.6300003648,40.343480773
0,40.28,-74.57510000000001,1,55,0,0,1,1,40.32036972045898,-74.60334777832031,6.171100916063442,5.088115109683319,4.141426084131739,2.35033990260274,-74.6300113608,40.3425800548
1,40.2744,-74.6139,1,50,0,0,0,1,40.31496810913086,-74.59191131591797,5.624431529669696,5.189346899341055,4.881255844811047,4.342402983733826,-74.6300515648,40.3416796742
0,40.2886,-74.64230000000001,1,37,0,0,0,0,,,4.535205286084421,4.83632848432589,5.182271236533303,4.340731576321574,-74.6300923244,40.3407792992
1,40.2873,-74.62179999999999,1,64,0,0,0,1,,,4.192965849031506,3.996264429442163,3.9861880420431,3.620795481783911,-74.62967792249999,40.3399541329
1,40.3046,-74.6396,1,41,0,0,1,0,,,2.911814421111139,3.538789150220023,4.204783704846669,2.668999847121578,-74.62915559149999,40.3391467334
1,40.2834,-74.6134,1,33,0,0,0,0,,,4.629173405861819,4.198300315356148,3.955075052804363,3.606581434279395,-74.6284973379,40.3384040141
0,40.3078,-74.6237,1,24,1,0,1,1,,,1.963155696251477,2.220642944393746,2.810760555828346,1.832860532462504,-74.6279244617,40.3376242133
0,40.2957,-74.5802,1,54,0,0,0,1,,,4.555002508038727,3.373052574209848,2.361486437528225,.8126720988743253,-74.6269832723,40.3371838988
0,40.3109,-74.5989,1,26,0,0,0,1,,,2.238746312534913,1.118474840753041,.7454875233892223,.4326061874651043,-74.6261337447,40.3365989578
1,40.2841,-74.6091,1,49,0,0,0,0,,,4.596487816793216,4.062401905336208,3.72908614082802,3.280470162991658,-74.6253635751,40.3359249148
1,40.2672,-74.61839999999999,1,50,0,0,1,1,,,6.414996408344201,6.048462510289942,5.767173681716978,5.204277726349544,-74.6246532599,40.3352189814
0,40.2911,-74.6298,1,29,0,0,0,0,,,3.890662347440617,3.952738957549512,4.167391242835524,3.683152660867408,-74.6237512702,40.3346508128
0,40.2928,-74.6073,1,18,0,0,1,1,,,3.679501817535163,3.083877192736997,2.789095384148399,2.554205264254046,-74.6232424754,40.333952168
1,40.2681,-74.6155,1,24,0,0,1,1,,,6.318025445780979,5.902802411836694,5.582331915766608,4.975687010827404,-74.6231601795,40.3330537247
