X,T,nextGPA,hsgrade_pct,totcredits_year1,age_at_entry,male,bpl_north_america,loc_campus1,loc_campus2,loc_campus3
-2.319999933242798,0,3.9400001,91,4.5,19,1,1,1,0,0
-2.140000104904175,0,3.6600001,94,5.5,19,0,1,1,0,0
-.449999988079071,0,2,65,5,18,1,1,1,0,0
-1.940000057220459,0,3.46,76,4,19,0,1,1,0,0
-1.990000009536743,0,3.25,97,5,19,0,1,1,0,0
-2.279999971389771,0,3.7,72,4,19,0,1,0,1,0
.7599999904632568,1,2.23,12,5,19,1,1,0,1,0
-1.730000019073486,0,3.0899999,70,5,19,0,1,0,1,0
-.8399999737739563,0,1.91,17,4,18,1,1,1,0,0
-.9800000190734863,0,2.8800001,51,5,18,0,1,1,0,0
-2.160000085830688,0,3.8199999,97,5,19,0,1,1,0,0
-1.879999995231628,0,3.7799997,9,5,19,1,1,0,0,1
-.800000011920929,0,2.78,35,4.5,20,0,1,1,0,0
-1.419999957084656,0,2.54,81,5,19,0,1,1,0,0
-1.230000019073486,0,2.6800001,41,5,19,1,0,1,0,0
-1.600000023841858,0,3.3099999,15,5,17,0,1,0,0,1
-1.279999971389771,0,3.22,5,5,20,1,1,1,0,0
-.800000011920929,0,2.27,35,4.5,19,1,1,1,0,0
-1.330000042915344,0,2.8499999,54,5,18,0,1,0,0,1
-.1800000071525574,0,1.1799999,27,4,19,0,1,0,0,1
-2.299999952316284,0,2.3,75,5,18,1,1,1,0,0
-1.539999961853027,0,3.3,66,4,18,0,1,0,1,0
-1.259999990463257,0,2.1900001,35,5,18,0,1,1,0,0
-1.210000038146973,0,3,7,4,20,0,1,0,1,0
-1.840000033378601,0,3.46,86,5,19,0,1,1,0,0
.7200000286102295,1,.47,9,4,19,1,0,0,0,1
.8500000238418579,1,2.79,14,4,19,1,1,1,0,0
-1.740000009536743,0,3.3399999,83,5,19,0,1,0,1,0
-.7699999809265137,0,2.7,43,4.5,19,1,1,0,0,1
-1.5,0,2.74,70,5,19,1,1,1,0,0
-1.409999966621399,0,3.6999998,22,4.5,19,0,1,0,0,1
-1.399999976158142,0,2.1300001,28,4.5,19,0,1,0,1,0
-2.160000085830688,0,2.79,95,5,18,1,1,1,0,0
-2.440000057220459,0,3.7,97,5,19,0,1,1,0,0
-2.430000066757202,0,3.7,85,4,19,0,1,0,1,0
-.7200000286102295,0,2,38,5,19,0,1,0,0,1
-1.159999966621399,0,2.3,50,5,19,1,1,1,0,0
-1.789999961853027,0,3,93,4,19,0,0,1,0,0
-2.339999914169312,0,3.6800001,70,4,18,0,0,0,1,0
-2.390000104904175,0,3.5,78,5,19,1,1,1,0,0
-1.289999961853027,0,2,2,4,19,1,0,1,0,0
-.8999999761581421,0,2.1400001,81,5,19,0,1,1,0,0
-.4399999976158142,0,3,49,5,19,0,1,1,0,0
-.6200000047683716,0,2.3599999,12,4.5,19,0,1,0,1,0
-2.200000047683716,0,3.7,65,4.5,18,1,1,1,0,0
-1.990000009536743,0,3.5999999,90,4.5,19,1,1,0,0,1
-.5,0,1.53,21,4,19,1,1,0,0,1
.4199999868869781,1,1,11,4,19,0,1,0,0,1
-1.879999995231628,0,2.3199999,91,5,19,1,1,1,0,0
-.1800000071525574,0,2,30,4.5,19,1,1,0,0,1
-1.240000009536743,0,1.9400001,75,5,18,0,1,1,0,0
.3899999856948853,1,1,50,5.5,19,0,1,1,0,0
-.1800000071525574,0,1.4,66,4.5,19,1,1,0,0,1
-1.600000023841858,0,3.1500001,60,5,18,0,1,1,0,0
-1.149999976158142,0,2.3499999,4,5,20,1,1,0,1,0
-.75,0,2.27,5,4,19,0,1,0,1,0
-.7200000286102295,0,2.1700001,18,5,18,0,1,0,0,1
-.5400000214576721,0,1.63,22,4.5,19,1,1,1,0,0
-1.700000047683716,0,3.28,68,5,18,0,1,1,0,0
-2.259999990463257,0,4,100,5,18,0,1,0,0,1
-1.620000004768372,0,2.6800001,48,5,19,0,1,1,0,0
-.3799999952316284,0,1.47,35,5,19,1,1,1,0,0
-1.860000014305115,0,3.5899999,82,4,19,0,1,0,0,1
-2.240000009536743,0,3.2,73,5,19,1,0,0,0,1
-1.259999990463257,0,2.8,68,5,19,0,1,1,0,0
.3400000035762787,1,2.01,46,5,19,1,1,0,1,0
-.3799999952316284,0,2.3399999,12,5,19,0,1,0,1,0
-1.820000052452087,0,3.5799999,91,5,19,1,1,1,0,0
-2.099999904632568,0,3.7,94,4,18,0,1,1,0,0
-1.179999947547913,0,1.2,43,5,19,1,1,1,0,0
-.0199999995529652,0,.70999998,49,5,19,0,0,1,0,0
.2599999904632568,1,3.3,16,4,19,0,1,0,0,1
-1.360000014305115,0,3.1500001,88,5,19,0,1,1,0,0
-1.679999947547913,0,2.75,81,5,19,1,1,1,0,0
-2.069999933242798,0,3.7,98,5,18,0,1,1,0,0
.1500000059604645,1,2.3,25,4,18,0,1,0,1,0
-.3600000143051147,0,2.3,26,4,19,0,1,0,0,1
-.2700000107288361,0,1.5599999,70,5,18,0,0,1,0,0
-1.549999952316284,0,3.3,17,4,19,1,1,0,0,1
-1.220000028610229,0,3,54,4.5,19,0,1,0,1,0
-1.200000047683716,0,2.4400001,16,5,19,1,1,0,0,1
-1.679999947547913,0,2.7,48,5,19,1,1,0,0,1
.4199999868869781,1,3.3699999,8,4,19,1,1,0,0,1
-1.360000014305115,0,2.4000001,63,5,19,0,1,1,0,0
-1.700000047683716,0,2.6300001,31,5,19,0,1,1,0,0
-2.359999895095825,0,3.9100001,97,5,18,1,1,1,0,0
-2.039999961853027,0,3.71,87,5,18,1,1,1,0,0
-1.129999995231628,0,3.5,55,4,18,1,1,1,0,0
.4199999868869781,1,1.9299999,15,4,18,1,1,0,1,0
-1.740000009536743,0,2.4000001,89,4.5,19,1,1,1,0,0
-1.480000019073486,0,3.22,53,5,19,1,1,1,0,0
-1.440000057220459,0,2.7,61,5,18,0,1,0,0,1
-1.580000042915344,0,2.3599999,57,4,19,0,1,1,0,0
-.0599999986588955,0,2.0599999,3,5,19,1,1,0,1,0
-1.139999985694885,0,2.3,22,4,19,1,1,1,0,0
.2599999904632568,1,1.1,84,5,19,0,1,1,0,0
-.1000000014901161,0,1.7,19,4,19,1,1,0,0,1
-1.879999995231628,0,3.1500001,82,5,19,0,1,1,0,0
-.9800000190734863,0,1.91,28,4.5,18,0,1,1,0,0
-1.360000014305115,0,3.7,69,5,19,0,1,1,0,0
-.4600000083446503,0,2.3,13,4,18,0,1,1,0,0
-1.509999990463257,0,2.6800001,25,5,18,0,0,0,0,1
-1,0,2.0799999,35,4,19,0,0,1,0,0
-1.259999990463257,0,3,17,4.5,19,0,0,0,1,0
-1.440000057220459,0,1.9,78,5,18,0,1,1,0,0
-.5,0,1.7,85,5,18,1,1,1,0,0
-1.860000014305115,0,3.3499999,93,5,19,0,1,1,0,0
-.9800000190734863,0,2.99,48,4.5,19,1,1,0,0,1
-.8999999761581421,0,2.3,68,3.5,18,0,1,0,0,1
.0500000007450581,1,3.7,74,5,19,1,1,1,0,0
-.2099999934434891,0,1.7,6,4,19,0,1,0,1,0
-.8399999737739563,0,2.5,43,5,19,1,1,1,0,0
-1.179999947547913,0,2.3699999,46,5,18,1,1,1,0,0
-1.980000019073486,0,3.3,65,5,18,1,1,1,0,0
.8199999928474426,1,3,27,4,20,1,1,0,1,0
.8199999928474426,1,.42999992,16,3,19,1,1,0,0,1
-.7300000190734863,0,1.1799999,8,4,19,0,0,1,0,0
-.0299999993294477,0,2.3299999,41,4.5,18,1,1,0,0,1
-.8999999761581421,0,3,15,4,19,0,1,0,1,0
-.6100000143051147,0,.69999999,54,4.5,18,1,1,1,0,0
-1.850000023841858,0,3.6999998,71,5,19,0,1,0,0,1
-.550000011920929,0,2.1600001,28,5,19,0,1,0,0,1
-.6000000238418579,0,3.3,35,4,19,1,1,1,0,0
-1.559999942779541,0,3.52,65,5,18,1,1,1,0,0
.1700000017881393,1,2.8399999,27,4,18,0,1,1,0,0
-2.109999895095825,0,3.7,74,5,17,0,0,1,0,0
-.6399999856948853,0,3,25,5,18,0,1,0,1,0
-1.100000023841858,0,2.52,72,4,20,1,1,1,0,0
-2.309999942779541,0,3.6999998,44,5,19,0,0,0,0,1
-.3300000131130219,0,2.0899999,58,4,19,1,1,1,0,0
-1.529999971389771,0,3.49,78,5,19,0,1,0,1,0
-1.679999947547913,0,2.7,19,4,19,0,1,0,1,0
-.0299999993294477,0,1.59,19,6,18,0,1,0,0,1
-.1700000017881393,0,.69999999,32,3.5,19,1,1,0,0,1
-1.559999942779541,0,2.78,27,5,19,1,1,1,0,0
-1.440000057220459,0,3.0999999,51,5,18,1,1,1,0,0
-.9800000190734863,0,2.9400001,67,5,19,1,0,1,0,0
-.8299999833106995,0,3.47,6,3,21,0,1,0,0,1
-1.090000033378601,0,2,48,4,19,0,1,1,0,0
-.4600000083446503,0,2.3299999,37,4.5,18,0,1,0,0,1
-2.059999942779541,0,3.71,91,5,19,0,1,1,0,0
-2.029999971389771,0,3.1900001,21,4,18,1,1,0,0,1
-.75,0,1.7,67,4,18,1,1,1,0,0
-.1700000017881393,0,.69999999,43,4.5,19,1,1,1,0,0
-.4300000071525574,0,2.5,3,4,19,0,1,0,1,0
-2.440000057220459,0,4,100,5,19,0,1,1,0,0
-1.659999966621399,0,2.8399999,72,4.5,18,1,1,0,0,1
-1.340000033378601,0,2.78,58,5,19,1,1,1,0,0
.6499999761581421,1,2.0999999,5,3,19,0,1,0,0,1
-1.330000042915344,0,3.3,84,4,18,0,1,1,0,0
-.5799999833106995,0,1.7,64,4,19,0,1,0,1,0
.1599999964237213,1,2.0699999,5,5,19,1,1,0,1,0
-.6499999761581421,0,2.2,25,4,19,1,1,1,0,0
