X,Y,T,dopen,presdemvoteshlag1,demvoteshlag1,demvoteshlag2,demwinprv1,demwinprv2,dmidterm,dpresdem
-7.688561,36.097572,0,0,39.159367,,,,,1,1
-3.9237082,45.468746,0,0,39.159367,42.076942,,0,,0,1
-6.8686604,45.598213,0,0,33.027374,36.097572,46.239407,0,0,1,0
-27.668056,48.476063,0,0,27.5257,45.468746,36.097572,0,0,1,0
-8.2569685,51.746868,0,1,27.5257,35.641209,45.468746,0,0,0,0
.73248148,39.802643,1,0,45.574795,45.598213,35.641209,0,0,0,0
3.4937382,53.15107,1,0,47.398193,48.476063,45.598213,1,0,1,1
-3.0905752,51.987637,0,0,55.323048,51.746868,48.476063,1,1,1,1
4.7034559,51.678295,1,0,53.438251,53.15107,39.802643,1,0,0,1
-8.1198635,57.468903,0,0,47.910397,51.678295,40.664639,1,0,0,1
-11.794811,51.254742,0,0,43.909779,44.360371,51.678295,0,1,0,0
14.937806,64.644257,1,0,36.267632,43.047768,44.360371,0,0,1,0
2.5094838,54.291164,1,1,53.730656,57.468903,43.047768,1,0,1,1
29.306395,33.792454,1,0,53.730656,51.254742,57.468903,1,1,0,1
8.5855637,63.674862,1,0,67.806,64.644257,51.254742,1,1,0,1
-7.9507647,41.217743,0,1,49.478199,54.291164,64.644257,1,1,1,0
29.381487,56.341518,1,0,40.129108,33.792454,54.291164,0,1,1,0
-16.506035,46.067585,0,0,40.129108,63.674862,33.792454,1,0,0,0
13.428482,64.763397,1,1,47.08382,41.217743,63.674862,0,1,0,1
-4.3230863,49.764439,0,0,38.377731,56.341518,41.217743,1,0,1,0
29.915768,58.812016,1,0,38.835964,46.067585,56.341518,0,1,1,0
.72604716,67.043266,1,0,38.835964,64.763397,46.067585,1,0,0,0
20.693081,65.146088,1,0,46.874748,49.764439,64.763397,1,1,0,0
36.03056,63.214111,1,0,42.213978,58.812016,49.764439,1,1,1,0
32.777927,65.360603,1,0,52.831585,67.043266,58.812016,1,1,1,0
29.042652,39.729641,1,0,52.831585,65.146088,67.043266,1,1,0,0
33.712173,55.158417,1,0,55.909626,63.214111,65.146088,1,1,0,0
-10.917887,,0,0,54.313705,65.360603,63.214111,1,1,1,0
11.941481,,1,1,60.588829,39.729641,65.360603,0,1,1,0
-6.8523526,42.495945,0,0,39.426571,,,,,0,1
-11.135491,39.570938,0,0,46.974632,45.981895,,0,,1,1
-15.008113,30.358973,0,0,33.291225,44.432255,45.981895,0,0,1,0
-39.282055,49.709076,0,0,21.834415,39.570938,42.495945,0,0,0,0
-21.889481,49.253906,0,1,30.964613,30.358973,39.570938,0,0,1,0
-.43046474,41.273411,0,0,43.193027,39.05526,30.358973,0,0,1,1
-1.4921904,33.33094,0,0,43.193027,49.709076,39.05526,0,0,0,1
-17.334133,36.453655,0,1,41.576603,49.253906,49.709076,0,0,0,1
-33.33812,28.699789,0,0,48.771351,41.273411,49.253906,0,0,1,1
-27.092691,37.258305,0,0,47.446354,33.33094,41.273411,0,0,1,1
-42.600422,41.392105,0,1,47.446354,36.453655,33.33094,0,0,0,1
-25.483395,60.781956,0,1,42.386963,28.699789,36.453655,0,0,0,1
-17.215788,38.351185,0,0,33.832539,37.258305,28.699789,0,0,1,0
21.563911,66.616829,1,0,29.134563,41.392105,37.258305,0,0,1,0
-23.297632,41.053513,0,0,29.134563,60.781956,41.392105,1,0,0,0
33.233654,61.740875,1,0,42.952389,38.351185,60.781956,0,1,0,1
-17.892977,53.231586,0,0,68.842018,66.616829,38.351185,1,0,1,1
23.48175,60.203255,1,0,55.304684,41.053513,66.616829,0,1,1,0
6.4631729,33.938301,1,0,55.304684,61.740875,41.053513,1,0,0,0
-22.647476,25.865877,0,0,48.094074,60.203255,53.231586,1,1,1,1
-47.476452,38.640259,0,0,42.250355,60.867928,33.938301,1,0,0,0
62.595875,36.355286,1,0,38.78104,25.865877,60.867928,0,1,0,0
-22.700262,43.875427,0,0,43.883537,81.295517,25.865877,1,0,1,0
-23.880028,31.058702,0,1,38.7668,38.640259,81.295517,0,1,1,0
-5.3060679,41.56435,0,1,38.7668,36.355286,38.640259,0,0,0,0
-37.882599,20.586014,0,0,51.623959,43.875427,36.355286,0,0,0,0
